ID;BONUSZ;ARBEVETEL;TJB;AKTIV_NAPOK;KAMPANY_HOSSZA;VISSZAFIZETES;PONT_NAP;PONT_HONAP;RFM_SCORE_NO;KAMPANYAFFINITAS;TELJESITES
ID284;20000;294645;120003;24;2;0,5;2;7,9183;10;0,857142857;1
ID285;5000;76796;37192;31;2;0,5;2;7,9183;6;0,4;1
ID286;5000;121950;92982;28;2;0,5;2;7,9183;8;0;1
ID287;20000;420881;122182;28;2;0,5;2;7,9183;10;0,125;0
ID288;10000;197905;85800;20;2;0,5;2;7,9183;8;0;0
ID289;2000;427395;11590;31;2;0,5;2;7,9183;5;1;1
ID290;20000;264800;147186;31;2;0,5;2;7,9183;10;0,363636364;0
ID291;20000;21660155;6127092;14;2;0,5;2;7,9183;9;0,166666667;1
ID292;10000;441670;7090;25;2;0,5;2;7,9183;9;1;1
ID293;2000;31912;-123;21;2;0,5;2;7,9183;8;1;0
ID294;2000;9068;13937;27;2;0,5;2;7,9183;7;0;1
ID295;20000;716814;172121;24;2;0,5;2;7,9183;10;0,5;0
ID296;20000;455153;315965;22;2;0,5;2;7,9183;10;0;0
ID297;20000;0;69500;8;2;0,5;2;7,9183;8;0,666666667;0
ID298;2000;11185;1380;21;2;0,5;2;7,9183;8;0;0
ID299;5000;77859;1004;26;2;0,5;2;7,9183;7;0;0
ID300;2000;12138;15930;22;2;0,5;2;7,9183;7;0;0
ID301;10000;110425;214121;21;2;0,5;2;7,9183;9;0,636363636;0
ID302;10000;2646636;-789997;30;2;0,5;2;7,9183;10;1;1
ID303;20000;539346;124561;25;2;0,5;2;7,9183;10;0,375;0
ID304;2000;10828;-78;16;2;0,5;2;7,9183;10;0;0
ID305;5000;20171;12601;30;2;0,5;2;7,9183;9;1;1
ID306;20000;993510;168002;31;2;0,5;2;7,9183;10;0,75;1
ID307;20000;839000;1562500;28;2;0,5;2;7,9183;10;0,6;1
ID308;2000;36318;-10058;29;2;0,5;2;7,9183;7;0,6;0
ID309;20000;118457;70372;31;2;0,5;2;7,9183;10;0,272727273;0
ID310;10000;228933;98551;19;2;0,5;2;7,9183;10;0,2;0
ID311;20000;511521;364501;21;2;0,5;2;7,9183;10;0,2;0
ID312;2000;21330;16648;30;2;0,5;2;7,9183;9;0,25;1
ID313;2000;10034;14676;20;2;0,5;2;7,9183;6;0,4;0
ID314;20000;1194149;592600;12;2;0,5;2;7,9183;9;0,375;0
ID315;5000;276370;31744;31;2;0,5;2;7,9183;9;0,75;1
ID316;5000;280779;38625;26;2;0,5;2;7,9183;9;0;0
ID317;5000;135381;14905;21;2;0,5;2;7,9183;7;0,833333333;1
ID318;10000;176770;24664;31;2;0,5;2;7,9183;10;0,111111111;0
ID319;20000;88567;125910;24;2;0,5;2;7,9183;9;0,333333333;0
ID320;5000;21240;63602;24;2;0,5;2;7,9183;6;0;1
ID321;5000;46193;10267;31;2;0,5;2;7,9183;9;0;0
ID322;20000;226491;4452;31;2;0,5;2;7,9183;10;0;0
ID323;10000;165216;-44739;28;2;0,5;2;7,9183;9;0,333333333;0
ID324;2000;57021;-42299;17;2;0,5;2;7,9183;9;0,25;0
ID325;2000;61061;11064;27;2;0,5;2;7,9183;7;0,166666667;0
ID326;5000;60366;34052;30;2;0,5;2;7,9183;9;0,6;1
ID327;20000;195812;305001;28;2;0,5;2;7,9183;10;0,266666667;1
ID328;2000;129134;-26040;25;2;0,5;2;7,9183;7;0,75;0
ID329;2000;28583;21600;18;2;0,5;2;7,9183;7;0;0
ID330;5000;40059;28701;24;2;0,5;2;7,9183;9;0;0
ID331;20000;327910;565394;31;2;0,5;2;7,9183;10;1;0
ID332;5000;20705;3181;25;2;0,5;2;7,9183;8;0,285714286;0
ID333;20000;222188;216027;31;2;0,5;2;7,9183;10;1;1
ID334;20000;1235621;39011;28;2;0,5;2;7,9183;10;0,285714286;0
ID335;2000;4899;-638;22;2;0,5;2;7,9183;6;0;0
ID336;20000;100000;325000;3;2;0,5;2;7,9183;5;0;0
ID337;5000;28739;6719;13;2;0,5;2;7,9183;7;0;0
ID338;2000;32637;23984;27;2;0,5;2;7,9183;8;0,666666667;1
ID339;5000;83598;22901;21;2;0,5;2;7,9183;8;0,2;0
ID340;20000;2418284;462604;28;2;0,5;2;7,9183;9;0,166666667;0
ID341;20000;1893024;1427001;17;2;0,5;2;7,9183;9;0,538461539;1
ID342;5000;24025;13001;26;2;0,5;2;7,9183;7;0;0
ID343;20000;493910;1061469;16;2;0,5;2;7,9183;9;0,6;0
ID344;5000;685888;68912;24;2;0,5;2;7,9183;4;0;0
ID345;10000;255332;134847;27;2;0,5;2;7,9183;8;0;0
ID346;20000;300000;1400000;4;2;0,5;2;7,9183;9;0,444444444;0
ID347;20000;244593;1068293;25;2;0,5;2;7,9183;10;0,888888889;1
ID348;20000;1515556;491759;22;2;0,5;2;7,9183;10;0,846153846;1
ID349;20000;485904;38585;29;2;0,5;2;7,9183;10;0,666666667;0
ID350;5000;67983;38746;26;2;0,5;2;7,9183;9;0,8;1
ID351;2000;26773;10001;19;2;0,5;2;7,9183;7;0,25;0
ID352;5000;119076;1002;15;2;0,5;2;7,9183;8;0;0
ID353;5000;94899;31578;31;2;0,5;2;7,9183;6;1;1
ID354;2000;17512;2510;31;2;0,5;2;7,9183;7;0;0
ID355;2000;21946;-10494;29;2;0,5;2;7,9183;7;0,142857143;0
ID356;20000;636870;656500;7;2;0,5;2;7,9183;9;0,8;1
ID357;5000;296551;107748;14;2;0,5;2;7,9183;5;0;0
ID358;5000;32227;27581;19;2;0,5;2;7,9183;9;0,2;0
ID359;20000;87846;33246;24;2;0,5;2;7,9183;10;0,375;0
ID360;5000;107670;38187;17;2;0,5;2;7,9183;8;0,5;0
ID361;20000;10000;104000;9;2;0,5;2;7,9183;9;0,222222222;0
ID362;10000;54590;132229;28;2;0,5;2;7,9183;10;0;0
ID363;2000;26500;-1864;25;2;0,5;2;7,9183;7;0,25;0
ID364;2000;96679;9302;20;2;0,5;2;7,9183;7;0;0
ID365;10000;240244;18682;27;2;0,5;2;7,9183;9;1;1
ID366;5000;110800;-46001;20;2;0,5;2;7,9183;6;0,625;0
ID367;5000;202067;15449;31;2;0,5;2;7,9183;9;1;1
ID368;10000;110617;123800;22;2;0,5;2;7,9183;10;0;0
ID369;20000;970006;171805;16;2;0,5;2;7,9183;9;0,222222222;0
ID370;5000;54500;-36008;16;2;0,5;2;7,9183;8;0,25;0
ID371;10000;6952854;405903;14;2;0,5;2;7,9183;4;0;1
ID372;10000;1499190;178385;31;2;0,5;2;7,9183;10;0,6;1
ID373;20000;1093543;-100936;11;2;0,5;2;7,9183;10;0,285714286;1
